Date;Open;High;Low;Close;Qty;Vol
2/1/14 10:15;16.11;16.16;16.05;16.05;0;6791410
2/1/14 10:30;16.06;16.07;15.99;16.01;806;9589700
2/1/14 10:45;16.01;16.07;16;16.04;542;4288391
2/1/14 11:00;16.04;16.06;15.94;15.95;884;11423199
2/1/14 11:15;15.95;15.99;15.94;15.96;544;3359216
2/1/14 11:30;15.96;15.99;15.94;15.98;544;2936335
2/1/14 11:45;15.98;16;15.95;15.97;703;5680473
2/1/14 12:00;15.97;15.99;15.89;15.91;805;6849474
2/1/14 12:15;15.9;15.93;15.9;15.92;628;5273972
2/1/14 12:30;15.92;15.98;15.92;15.97;755;6013445
2/1/14 12:45;15.97;16.05;15.92;15.95;2144;29991702
2/1/14 13:00;15.95;15.99;15.92;15.92;946;10793362
2/1/14 13:15;15.94;15.95;15.88;15.88;1370;9201851
2/1/14 13:30;15.88;15.91;15.86;15.89;1695;10585969
2/1/14 13:45;15.89;15.93;15.87;15.92;1389;9005236
2/1/14 14:00;15.92;15.92;15.9;15.91;1173;4435871
2/1/14 14:15;15.91;15.93;15.9;15.91;1209;4616303
2/1/14 14:30;15.91;15.92;15.85;15.88;1287;6313796
2/1/14 14:45;15.87;15.88;15.83;15.86;1208;4987927
2/1/14 15:00;15.86;15.89;15.82;15.84;1802;14275538
2/1/14 15:15;15.84;15.9;15.83;15.85;1659;11931057
2/1/14 15:30;15.84;15.85;15.75;15.77;1502;16399125
2/1/14 15:45;15.77;15.78;15.73;15.76;1761;14709471
2/1/14 16:00;15.76;15.77;15.7;15.76;1608;13015474
2/1/14 16:15;15.76;15.78;15.7;15.71;1700;9683438
2/1/14 16:30;15.71;15.73;15.65;15.67;2619;19096388
2/1/14 16:45;15.67;15.69;15.64;15.64;2596;14733948
2/1/14 17:00;15.64;15.74;15.64;15.74;885;22705438
3/1/14 10:15;15.73;15.73;15.67;15.73;419;4163420
3/1/14 10:30;15.73;15.76;15.71;15.72;625;8192111
3/1/14 10:45;15.72;15.74;15.66;15.68;414;7257251
3/1/14 11:00;15.68;15.68;15.61;15.61;485;5659966
3/1/14 11:15;15.61;15.61;15.53;15.59;720;10209409
3/1/14 11:30;15.59;15.65;15.59;15.63;576;6399246
3/1/14 11:45;15.63;15.69;15.61;15.66;606;6961009
3/1/14 12:00;15.66;15.67;15.61;15.63;543;4623468
3/1/14 12:15;15.62;15.73;15.62;15.66;662;7647606
3/1/14 12:30;15.66;15.67;15.62;15.64;477;2866039
3/1/14 12:45;15.65;15.72;15.64;15.65;1166;14483055
3/1/14 13:00;15.65;15.69;15.61;15.61;651;7715910
3/1/14 13:15;15.61;15.65;15.6;15.61;777;8943324
3/1/14 13:30;15.61;15.62;15.6;15.61;561;5041568
3/1/14 13:45;15.61;15.61;15.59;15.59;733;6586955
3/1/14 14:00;15.59;15.6;15.56;15.56;546;3955269
3/1/14 14:15;15.55;15.57;15.54;15.55;636;7656313
3/1/14 14:30;15.56;15.56;15.51;15.52;928;9603557
3/1/14 14:45;15.52;15.53;15.48;15.5;1045;8248947
3/1/14 15:00;15.5;15.53;15.47;15.48;898;11331555
3/1/14 15:15;15.48;15.52;15.48;15.51;903;8072854
3/1/14 15:30;15.52;15.55;15.49;15.53;746;7276990
3/1/14 15:45;15.53;15.58;15.52;15.54;695;7567365
3/1/14 16:00;15.54;15.55;15.5;15.5;778;5516340
3/1/14 16:15;15.5;15.55;15.5;15.55;858;8715530
3/1/14 16:30;15.54;15.55;15.49;15.5;1025;8522756
3/1/14 16:45;15.51;15.54;15.5;15.53;919;8186611
3/1/14 17:00;15.53;15.54;15.43;15.43;711;89337784
6/1/14 10:15;15.45;15.49;15.34;15.34;628;12636812
6/1/14 10:30;15.35;15.37;15.3;15.3;438;9875012
6/1/14 10:45;15.3;15.3;15.2;15.27;1019;18092368
6/1/14 11:00;15.27;15.27;15.18;15.24;613;8006309
6/1/14 11:15;15.24;15.27;15.23;15.26;442;6257716
6/1/14 11:30;15.26;15.28;15.24;15.28;543;6943978
6/1/14 11:45;15.28;15.3;15.27;15.27;575;5059559
6/1/14 12:00;15.27;15.33;15.27;15.31;618;8040419
6/1/14 12:15;15.31;15.33;15.31;15.33;464;4656088
6/1/14 12:30;15.33;15.38;15.32;15.36;601;7442587
6/1/14 12:45;15.36;15.36;15.29;15.3;1464;17946964
6/1/14 13:00;15.3;15.33;15.26;15.33;862;20426596
6/1/14 13:15;15.33;15.43;15.3;15.41;1175;19772772
6/1/14 13:30;15.42;15.45;15.37;15.43;723;10982961
6/1/14 13:45;15.43;15.46;15.43;15.46;604;8755415
6/1/14 14:00;15.45;15.47;15.42;15.43;868;10592718
6/1/14 14:15;15.43;15.59;15.42;15.57;1051;15040563
6/1/14 14:30;15.57;15.58;15.43;15.43;1407;22066164
6/1/14 14:45;15.43;15.49;15.43;15.45;785;8026615
6/1/14 15:00;15.45;15.48;15.43;15.47;905;6245700
