Date;Open;High;Low;Close;Qty;Vol
2/1/14 10:15;30.62;30.70;30.48;30.48;0;9723906
2/1/14 10:30;30.49;30.52;30.38;30.42;594;19651730
2/1/14 10:45;30.42;30.49;30.40;30.44;196;4437531
2/1/14 11:00;30.44;30.48;30.34;30.42;449;9637491
2/1/14 11:15;30.42;30.47;30.41;30.44;227;4854962
2/1/14 11:30;30.44;30.44;30.37;30.40;189;2706625
2/1/14 11:45;30.40;30.44;30.35;30.38;383;5354624
2/1/14 12:00;30.37;30.48;30.29;30.30;576;10703977
2/1/14 12:15;30.29;30.34;30.27;30.34;314;4822209
2/1/14 12:30;30.34;30.38;30.28;30.32;300;4775447
2/1/14 12:45;30.32;30.42;30.24;30.26;1614;33665540
2/1/14 13:00;30.26;30.31;30.18;30.20;1305;37034332
2/1/14 13:15;30.22;30.22;30.03;30.04;1160;19646252
2/1/14 13:30;30.05;30.08;29.98;30.05;1009;14473843
2/1/14 13:45;30.05;30.13;30.05;30.10;768;11374540
2/1/14 14:00;30.08;30.10;30.02;30.05;777;12660703
2/1/14 14:15;30.05;30.06;29.95;29.98;754;13097435
2/1/14 14:30;29.98;30.02;29.95;29.96;560;5844264
2/1/14 14:45;29.96;29.97;29.90;29.91;644;7898501
2/1/14 15:00;29.91;29.94;29.82;29.84;1127;18478900
2/1/14 15:15;29.84;29.87;29.78;29.81;1007;17160536
2/1/14 15:30;29.81;29.83;29.74;29.79;1033;16981512
2/1/14 15:45;29.79;29.79;29.62;29.65;1366;26469212
2/1/14 16:00;29.64;29.81;29.62;29.79;1574;30291566
2/1/14 16:15;29.78;29.79;29.70;29.71;1133;15366097
2/1/14 16:30;29.71;29.72;29.65;29.66;1040;13412951
2/1/14 16:45;29.65;29.70;29.55;29.67;1550;29396056
2/1/14 17:00;29.67;29.80;29.61;29.80;789;47895840
3/1/14 10:15;29.80;29.80;29.60;29.69;255;5603937
3/1/14 10:30;29.70;29.78;29.68;29.75;354;8333330
3/1/14 10:45;29.74;29.75;29.61;29.69;247;5678073
3/1/14 11:00;29.68;29.68;29.53;29.58;538;10804803
3/1/14 11:15;29.57;29.63;29.54;29.58;386;6036829
3/1/14 11:30;29.59;29.65;29.59;29.62;308;4048983
3/1/14 11:45;29.61;29.74;29.61;29.72;417;8239798
3/1/14 12:00;29.72;29.75;29.67;29.73;290;4916281
3/1/14 12:15;29.73;29.74;29.61;29.65;371;5803628
3/1/14 12:30;29.68;29.68;29.61;29.64;235;2924238
3/1/14 12:45;29.65;29.68;29.46;29.47;1069;24626268
3/1/14 13:00;29.48;29.51;29.41;29.42;945;17213306
3/1/14 13:15;29.41;29.45;29.32;29.41;1034;16560486
3/1/14 13:30;29.41;29.43;29.34;29.40;755;11402855
3/1/14 13:45;29.40;29.47;29.36;29.46;742;11815157
3/1/14 14:00;29.46;29.48;29.43;29.47;900;10543758
3/1/14 14:15;29.47;29.47;29.34;29.36;657;8393275
3/1/14 14:30;29.34;29.36;29.27;29.28;845;10848757
3/1/14 14:45;29.27;29.35;29.27;29.30;1022;11568790
3/1/14 15:00;29.30;29.34;29.27;29.30;1008;13549870
3/1/14 15:15;29.30;29.36;29.23;29.31;1214;16614419
3/1/14 15:30;29.31;29.40;29.24;29.39;987;13280976
3/1/14 15:45;29.39;29.46;29.35;29.35;1027;12486007
3/1/14 16:00;29.34;29.41;29.24;29.24;1321;13553937
3/1/14 16:15;29.24;29.39;29.23;29.39;1411;17672856
3/1/14 16:30;29.39;29.41;29.31;29.32;1273;16635406
3/1/14 16:45;29.32;29.40;29.30;29.39;2114;19217268
3/1/14 17:00;29.37;29.40;29.33;29.33;632;132246816
6/1/14 10:15;29.31;29.33;29.14;29.15;871;16893052
6/1/14 10:30;29.16;29.22;29.08;29.09;617;12700005
6/1/14 10:45;29.08;29.08;28.95;28.96;803;14727146
6/1/14 11:00;28.97;29.03;28.94;28.97;472;7416021
6/1/14 11:15;28.98;29.13;28.97;29.06;420;7712115
6/1/14 11:30;29.06;29.11;29.03;29.08;449;8068027
6/1/14 11:45;29.08;29.11;29.07;29.11;354;3908002
6/1/14 12:00;29.11;29.20;29.10;29.16;450;7201808
6/1/14 12:15;29.17;29.18;29.11;29.16;411;7425588
6/1/14 12:30;29.16;29.19;29.12;29.16;306;3890722
6/1/14 12:45;29.16;29.17;29.02;29.06;946;17409616
6/1/14 13:00;29.08;29.12;28.96;29.00;553;11488719
6/1/14 13:15;29.00;29.11;28.96;29.06;578;11396280
6/1/14 13:30;29.06;29.12;29.00;29.07;582;10617002
6/1/14 13:45;29.07;29.11;29.02;29.04;586;8328309
6/1/14 14:00;29.04;29.12;29.00;29.02;748;9745210
6/1/14 14:15;29.02;29.15;29.00;29.10;806;10245087
6/1/14 14:30;29.10;29.10;28.99;29.03;1025;15997941
6/1/14 14:45;29.01;29.11;29.01;29.05;902;14021458
6/1/14 15:00;29.05;29.09;29.02;29.09;599;5479709
6/1/14 15:15;29.08;29.19;29.04;29.18;1022;12955355
6/1/14 15:30;29.18;29.30;29.13;29.26;1295;20041836
6/1/14 15:45;29.26;29.26;29.16;29.20;1268;16631478
6/1/14 16:00;29.21;29.30;29.20;29.25;1490;16380057
6/1/14 16:15;29.25;29.41;29.24;29.34;1481;18551080
6/1/14 16:30;29.34;29.44;29.34;29.39;1089;15373476
6/1/14 16:45;29.40;29.41;29.32;29.35;1167;17053794
6/1/14 17:00;29.35;29.48;29.32;29.48;675;54318630
